window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2026_01_05,RUNE,RUNE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,24,-0.36700593724808916,-36.70059372480892,-1.5291914052003717,8,16,33.33333333333333,0.4486765674577114
2023H2,RUNE,RUNE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,61,-0.4034956395707834,-40.34956395707834,-0.6614682615914482,28,33,45.90163934426229,0.7598690509971577
2024,RUNE,RUNE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,128,-0.4566748619585246,-45.66748619585246,-0.35677723590509736,68,60,53.125,0.8681311682055918
2025,RUNE,RUNE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,93,-0.45017188308780565,-45.01718830878056,-0.4840557882664577,45,48,48.38709677419355,0.7604687789435457
2026_01_05,RUNE,RUNE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,24,4.0,28,0.25423266637960085,25.423266637960083,0.9079738084985745,19,9,67.85714285714286,2.155448242388232
2023H2,RUNE,RUNE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,47,-0.20893279593257041,-20.89327959325704,-0.44453786368632,24,23,51.06382978723404,0.7778753665202719
2024,RUNE,RUNE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,86,-0.5941996495971718,-59.41996495971718,-0.6909298251129904,44,42,51.162790697674424,0.7386014691089791
2025,RUNE,RUNE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,86,-0.7966569472739846,-79.66569472739846,-0.9263452875278891,41,45,47.674418604651166,0.7147491869364034
2026_01_05,RUNE,RUNE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,24,4.0,33,-0.12474910776367665,-12.474910776367665,-0.37802759928386864,14,19,42.42424242424242,0.8000273162886049
2023H2,RUNE,RUNE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,76,1.008230557462662,100.82305574626619,1.3266191545561343,42,34,55.26315789473685,1.5810467225714897
2024,RUNE,RUNE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,18,5.0,153,0.3248713455083707,32.48713455083707,0.21233421275056907,74,79,48.36601307189542,1.0842629030727267
