base,rule,template,side,regime,main_profit_pct,main_trades,losing_windows,profitable_windows
MANA,MANA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,0.2569096090234151,108,1,2
ICP,ICP:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-1.4897894023204739,110,1,2
HBAR,HBAR:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-3.1450544793042656,125,2,1
ARB,ARB:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-5.495185658885987,629,1,2
SAND,SAND:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,-6.009787277761692,117,2,1
ARB,ARB:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-7.053850482038946,206,1,2
GALA,GALA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-7.188419372401933,186,1,2
ICP,ICP:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-7.950644733447199,142,1,2
HBAR,HBAR:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,-8.456306256916063,244,2,1
ICP,ICP:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-11.308635116850816,331,2,1
DOT,DOT:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-12.906500017374034,131,2,1
ATOM,ATOM:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-13.788410515340207,131,2,1
ADA,ADA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,-15.192585531675551,238,2,1
GALA,GALA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-15.234179419624795,389,2,1
ADA,ADA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,-15.60655407961242,133,2,1
ALGO,ALGO:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-16.175134551123534,115,1,2
GALA,GALA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,-18.08561276371079,255,2,1
ADA,ADA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-18.22829922673758,102,1,2
MANA,MANA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-20.682913085727566,525,1,2
ALGO,ALGO:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-21.37089954470976,131,2,1
INJ,INJ:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-21.762169175523695,643,2,1
ATOM,ATOM:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,-26.53023999454973,129,2,1
GALA,GALA:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,-32.78111368397716,223,1,2
GALA,GALA:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,-33.845640560888235,231,2,1
ICP,ICP:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,-34.229416203598156,131,2,1
NEAR,NEAR:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-34.27667426319307,111,2,1
ALGO,ALGO:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,-36.36541847903479,196,3,0
GALA,GALA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-36.5485479504878,309,2,1
1000SHIB,1000SHIB:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-41.261616538061844,136,1,2
HBAR,HBAR:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-41.65494845259293,289,1,2
ICP,ICP:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-43.41403803038904,184,2,1
MANA,MANA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-43.665642539943235,143,1,2
NEAR,NEAR:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-46.98379216728016,127,2,1
GALA,GALA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-47.263219123525914,106,2,1
ALGO,ALGO:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-49.295563120402164,284,1,2
ATOM,ATOM:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-52.67829718792339,113,2,1
NEAR,NEAR:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-53.003240258438026,633,2,1
RUNE,RUNE:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-54.16438650439343,304,2,1
NEAR,NEAR:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-54.53717578666351,651,2,1
RUNE,RUNE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-54.70605039915273,113,2,1
MANA,MANA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-54.99071056602694,306,1,2
ARB,ARB:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,-55.638204828772636,136,2,1
FET,FET:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-55.6459915774855,106,2,1
SAND,SAND:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-56.129695213586835,171,2,1
1000SHIB,1000SHIB:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-56.79597067980402,649,2,1
FIL,FIL:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-57.738352642959725,121,3,0
ARB,ARB:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-59.11883302258198,118,3,0
ARB,ARB:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-62.25220469668058,372,2,1
GALA,GALA:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-63.09000675048965,125,3,0
1000PEPE,1000PEPE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-63.68085825919732,278,2,1
ADA,ADA:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-64.53655350778592,184,3,0
ARB,ARB:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-65.16883837090339,630,2,1
RUNE,RUNE:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,-65.26140786667294,249,2,1
NEAR,NEAR:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-71.95317778966688,196,3,0
ATOM,ATOM:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-71.97940732158392,306,2,1
INJ,INJ:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-74.68817847577087,129,3,0
INJ,INJ:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,-78.25448476044943,255,2,1
INJ,INJ:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,-78.78154551820322,111,3,0
1000SHIB,1000SHIB:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,-84.01366973627572,97,3,0
ATOM,ATOM:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-90.69118251471414,141,3,0
DOT,DOT:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-90.74429801044053,307,2,1
ALGO,ALGO:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-99.78161393924654,151,2,1
RUNE,RUNE:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-102.25047878525933,93,2,1
FIL,FIL:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-103.46387247936687,192,2,1
ALGO,ALGO:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,-105.69309510913655,163,2,1
SAND,SAND:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-106.8508697910222,373,2,1
UNI,UNI:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,-108.15395675275789,145,2,1
ATOM,ATOM:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-108.67468779290738,583,2,1
RUNE,RUNE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-109.91894687478307,182,3,0
HBAR,HBAR:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,-110.38572688574698,177,2,1
HBAR,HBAR:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,-111.31033537869008,187,2,1
FIL,FIL:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-111.54748359213018,663,2,1
INJ,INJ:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-115.60410352727956,342,2,1
DOT,DOT:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-118.61810328450889,642,2,1
ARB,ARB:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-128.41488996799893,332,3,0
HBAR,HBAR:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-131.30042414666886,604,3,0
INJ,INJ:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,-136.49268395268084,240,2,1
HBAR,HBAR:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,-137.64456243039302,93,2,1
FIL,FIL:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-146.90753066090366,626,3,0
FET,FET:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-148.55876712951158,636,2,1
RUNE,RUNE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,-151.56057046348332,205,3,0
ICP,ICP:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-158.50148149462925,567,2,1
ATOM,ATOM:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-163.9928047970037,379,3,0
HBAR,HBAR:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,-179.8887508110749,185,3,0
FET,FET:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-188.08389552706416,339,2,1
ICP,ICP:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-210.22616753613994,393,3,0
GALA,GALA:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,-215.67665339195804,585,3,0
NEAR,NEAR:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,-230.92627763069936,401,3,0
1000PEPE,1000PEPE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-266.17299502089196,765,2,1
RUNE,RUNE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,-266.64394415921845,635,3,0
NEAR,NEAR:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,-346.5516651006936,341,3,0
