window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETH/USDT:USDT,ETH,long,s9_15_eth_micro_l_mc_h18_l5,2024-01-10 00:26:00+00:00,2024-01-10 01:56:00+00:00,-94.64423166,-1.8920210243000624,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2024-01-10 13:01:00+00:00,2024-01-10 15:01:00+00:00,-24.0637716,-0.4810444223857371,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-10 15:11:00+00:00,2024-01-10 16:41:00+00:00,329.9314654,6.595495104929591,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,short,s9_10_xrp_rsi_s_mx_h24_l4,2024-01-10 18:06:00+00:00,2024-01-10 20:06:00+00:00,-177.39369421,-3.549651070847065,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-10 23:21:00+00:00,2024-01-11 01:21:00+00:00,854.7295943,17.111916052612397,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-11 12:31:00+00:00,2024-01-11 14:31:00+00:00,8.78309775,0.17577808624232094,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-11 17:18:00+00:00,2024-01-11 17:30:00+00:00,-185.46982896,-3.7075866818938605,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-12 09:25:00+00:00,2024-01-12 09:37:00+00:00,205.75508775,4.113049016388904,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETH/USDT:USDT,ETH,long,s9_15_eth_micro_l_mc_h18_l5,2024-01-12 13:26:00+00:00,2024-01-12 14:56:00+00:00,81.2681072,1.6246192273095195,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XLM/USDT:USDT,XLM,long,s9_04_xlm_panic_l_mc_h12_l4,2024-01-12 17:01:00+00:00,2024-01-12 18:01:00+00:00,59.6017824,1.191440118666401,60,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,COMP/USDT:USDT,COMP,long,s9_05_comp_rsi_l_mx_h24_l4,2024-01-12 22:26:00+00:00,2024-01-13 00:26:00+00:00,315.99821639,6.316818406870753,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-13 00:26:00+00:00,2024-01-13 01:56:00+00:00,538.23608735,10.770111129984874,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-13 14:56:00+00:00,2024-01-13 16:26:00+00:00,-39.2451711,-0.7845143892019025,90,5.0
