rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
24,XTZ,rsi_reversion,short,local_chop,24,4.0,0.0,0.0,146,0.13468634686346864,1.0480435971974105,0.0006615517497872148,0.0007695496017356973,0.1329639889196676,3,0.547945205479452,1.4398993711949049,0.4517537789457784,0.3200908602411192,0.0007695496017356973,0.1329639889196676,0.46343725954136006,0.0010495530295442368,0.14600550964187328,0.18806851837559124,0.0012143204560950416,0.176056338028169,0.39338235115201825,"atr_ceiling=0.014,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
25,LINK,panic_snapback,long,market_contra,24,4.0,0.0,0.0,156,0.14351425942962281,1.7241240829273132,0.0009223634220880683,0.0003613638292856436,0.14965986394557823,3,0.5448717948717948,1.4146652428179294,0.36151146036783144,1.2227796415657526,0.00233828070395381,0.15204678362573099,0.1352078843037745,0.0003613638292856436,0.18518518518518517,0.07822434306985171,0.0005124820311372957,0.14965986394557823,0.36684290053550195,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
26,LINK,panic_snapback,long,market_contra,24,4.0,0.0,0.0,156,0.14351425942962281,1.7241240829273132,0.0009223634220880683,0.0003613638292856436,0.14965986394557823,3,0.5448717948717948,1.4146652428179294,0.36151146036783144,1.2227796415657526,0.00233828070395381,0.15204678362573099,0.1352078843037745,0.0003613638292856436,0.18518518518518517,0.07822434306985171,0.0005124820311372957,0.14965986394557823,0.36684290053550195,"atr_ceiling=0.055,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
27,LINK,panic_snapback,long,market_contra,24,4.0,0.0,0.0,156,0.14351425942962281,1.7241240829273132,0.0009223634220880683,0.0003613638292856436,0.14965986394557823,3,0.5448717948717948,1.4146652428179294,0.36151146036783144,1.2227796415657526,0.00233828070395381,0.15204678362573099,0.1352078843037745,0.0003613638292856436,0.18518518518518517,0.07822434306985171,0.0005124820311372957,0.14965986394557823,0.36684290053550195,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
28,LINK,panic_snapback,long,market_contra,24,4.0,0.0,0.0,156,0.14351425942962281,1.7241240829273132,0.0009223634220880683,0.0003613638292856436,0.14965986394557823,3,0.5448717948717948,1.4146652428179294,0.36151146036783144,1.2227796415657526,0.00233828070395381,0.15204678362573099,0.1352078843037745,0.0003613638292856436,0.18518518518518517,0.07822434306985171,0.0005124820311372957,0.14965986394557823,0.36684290053550195,"atr_ceiling=0.055,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
29,AAVE,panic_snapback,long,market_contra,24,4.0,0.0,0.0,146,0.13493530499075784,1.7081839592364685,0.0009211987978479108,0.0007265822862387861,0.14411764705882352,3,0.5547945205479452,1.4079365933995078,0.5788607286325531,0.8763057093551188,0.0017643131026230385,0.15126050420168066,0.28011289602358636,0.0007265822862387861,0.14411764705882352,0.3235338827469232,0.0022449589009516657,0.184,0.35546796411346754,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
30,AAVE,panic_snapback,long,market_contra,24,4.0,0.0,0.0,146,0.13493530499075784,1.7081839592364685,0.0009211987978479108,0.0007265822862387861,0.14411764705882352,3,0.5547945205479452,1.4079365933995078,0.5788607286325531,0.8763057093551188,0.0017643131026230385,0.15126050420168066,0.28011289602358636,0.0007265822862387861,0.14411764705882352,0.3235338827469232,0.0022449589009516657,0.184,0.35546796411346754,"atr_ceiling=0.055,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
31,AAVE,panic_snapback,long,market_contra,24,4.0,0.0,0.0,146,0.13493530499075784,1.7081839592364685,0.0009211987978479108,0.0007265822862387861,0.14411764705882352,3,0.5547945205479452,1.4079365933995078,0.5788607286325531,0.8763057093551188,0.0017643131026230385,0.15126050420168066,0.28011289602358636,0.0007265822862387861,0.14411764705882352,0.3235338827469232,0.0022449589009516657,0.184,0.35546796411346754,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
32,AAVE,panic_snapback,long,market_contra,24,4.0,0.0,0.0,146,0.13493530499075784,1.7081839592364685,0.0009211987978479108,0.0007265822862387861,0.14411764705882352,3,0.5547945205479452,1.4079365933995078,0.5788607286325531,0.8763057093551188,0.0017643131026230385,0.15126050420168066,0.28011289602358636,0.0007265822862387861,0.14411764705882352,0.3235338827469232,0.0022449589009516657,0.184,0.35546796411346754,"atr_ceiling=0.055,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
33,XTZ,rsi_reversion,long,local_chop,24,4.0,0.0,0.0,236,0.22201317027281278,0.6630704557783915,0.00047863338517339926,0.00035921352654244565,0.20512820512820512,3,0.5042372881355932,1.2075193116011846,0.3464929649802293,0.26856084720691364,0.0006722118974786806,0.23728813559322035,0.5662042402443543,0.0012754007311437388,0.2215909090909091,0.04291579145868418,0.00035921352654244565,0.20512820512820512,0.25823834497565434,"atr_ceiling=0.014,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
34,XTZ,rsi_reversion,long,local_chop,24,4.0,0.0,0.0,236,0.22201317027281278,0.6630704557783915,0.00047863338517339926,0.00035921352654244565,0.20512820512820512,3,0.5042372881355932,1.2075193116011846,0.3464929649802293,0.26856084720691364,0.0006722118974786806,0.23728813559322035,0.5662042402443543,0.0012754007311437388,0.2215909090909091,0.04291579145868418,0.00035921352654244565,0.20512820512820512,0.25823834497565434,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
35,XTZ,rsi_reversion,long,local_chop,24,4.0,0.0,0.0,236,0.22201317027281278,0.6630704557783915,0.00047863338517339926,0.00035921352654244565,0.20512820512820512,3,0.5042372881355932,1.2075193116011846,0.3464929649802293,0.26856084720691364,0.0006722118974786806,0.23728813559322035,0.5662042402443543,0.0012754007311437388,0.2215909090909091,0.04291579145868418,0.00035921352654244565,0.20512820512820512,0.25823834497565434,"atr_ceiling=0.014,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
