date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-02-25 20:10:00+00:00,0.00498471734100131,fixed_hold,0.03987773872801048,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-02-26 07:45:00+00:00,-0.009484725965858032,fixed_hold,-0.07587780772686425,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-02-26 09:25:00+00:00,-0.001455448787944957,fixed_hold,-0.011643590303559655,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-02-26 09:25:00+00:00,-4.5454545454625805e-05,fixed_hold,-0.00036363636363700644,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-02-26 09:45:00+00:00,0.0018742170135381269,fixed_hold,0.014993736108305015,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-02-26 16:15:00+00:00,-0.003239726027397249,fixed_hold,-0.025917808219177992,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-02-27 02:40:00+00:00,0.003370387038703793,fixed_hold,0.026963096309630345,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-02-27 02:50:00+00:00,0.0025603060306030327,fixed_hold,0.020482448244824262,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-02-28 11:00:00+00:00,0.01365216363522831,fixed_hold,0.10921730908182647,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-02-28 16:30:00+00:00,0.03091082519964511,fixed_hold,0.24728660159716087,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-02-29 00:05:00+00:00,-0.020665636167678247,fixed_hold,-0.16532508934142598,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
